16/03/2016 12:02:54
Noble crayfish in Division IIa and IIb, stock code: aas-arct. Working year 2016. Data year 2015
Allocation Scheme: WKIC demo. Allocation Scheme description: WKIC demo desc


TABLE 2.
Catch data, both catches were there are sample data (age or length data) and catches were there are no sample data.
AGE OR LENGTH DATA ARE INCLUDED

Stock	Country	Year	CatchCategory	ReportingCategory	CATONRaisedOrImported	MisreportedArea	Area	Season	SeasonType	Fleet	CATON	Effort	UnitEffort	OfficialLandings	SampledOrEstimated	Sex	AgeOrLength	AgeOrLengthType	CANUM	WECA	LECA	SampledCatch	No. of Length Samples	No. of Length Measured	No. of Age Samples	No. Age Readings
											in kg			in kg											in numbers	in numbers	in numbers	in numbers

aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	SDN_DEF_>=120_0_0_all	50000	25	kWd	50000	Estimated_Distribution	Undetermined	0	Age	12251.72	11.38	119.49	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	SDN_DEF_>=120_0_0_all	50000	25	kWd	50000	Estimated_Distribution	Undetermined	1	Age	28351.34	21.11	145.62	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	SDN_DEF_>=120_0_0_all	50000	25	kWd	50000	Estimated_Distribution	Undetermined	2	Age	29875.36	53.26	201.17	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	SDN_DEF_>=120_0_0_all	50000	25	kWd	50000	Estimated_Distribution	Undetermined	3	Age	28514.93	87.21	231.16	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	SDN_DEF_>=120_0_0_all	50000	25	kWd	50000	Estimated_Distribution	Undetermined	4	Age	83775.83	138.19	263.69	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	SDN_DEF_>=120_0_0_all	50000	25	kWd	50000	Estimated_Distribution	Undetermined	5	Age	62445.79	159.54	276.22	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	SDN_DEF_>=120_0_0_all	50000	25	kWd	50000	Estimated_Distribution	Undetermined	6	Age	61488.05	175.91	286.34	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	SDN_DEF_>=120_0_0_all	50000	25	kWd	50000	Estimated_Distribution	Undetermined	7	Age	39324.96	184.98	292.06	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	SDN_DEF_>=120_0_0_all	50000	25	kWd	50000	Estimated_Distribution	Undetermined	8	Age	28617.8	194.06	297.03	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	1	Quarter	SDN_DEF_>=120_0_0_all	163997.11	25	kWd		Estimated_Distribution	Undetermined	0	Age	47424.84	11.38	119.48	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	1	Quarter	SDN_DEF_>=120_0_0_all	163997.11	25	kWd		Estimated_Distribution	Undetermined	1	Age	154508.9	15.89	135.21	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	1	Quarter	SDN_DEF_>=120_0_0_all	163997.11	25	kWd		Estimated_Distribution	Undetermined	2	Age	161025.2	48.43	197.35	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	1	Quarter	SDN_DEF_>=120_0_0_all	163997.11	25	kWd		Estimated_Distribution	Undetermined	3	Age	142897.43	86.64	231.71	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	1	Quarter	SDN_DEF_>=120_0_0_all	163997.11	25	kWd		Estimated_Distribution	Undetermined	4	Age	319458.73	131.78	260.49	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	1	Quarter	SDN_DEF_>=120_0_0_all	163997.11	25	kWd		Estimated_Distribution	Undetermined	5	Age	201498.16	153.85	272.94	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	1	Quarter	SDN_DEF_>=120_0_0_all	163997.11	25	kWd		Estimated_Distribution	Undetermined	6	Age	184566.75	167.32	280.24	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	1	Quarter	SDN_DEF_>=120_0_0_all	163997.11	25	kWd		Estimated_Distribution	Undetermined	7	Age	115508.85	181.41	288.21	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	1	Quarter	SDN_DEF_>=120_0_0_all	163997.11	25	kWd		Estimated_Distribution	Undetermined	8	Age	78060.45	190.36	292.16	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	2	Quarter	SDN_DEF_>=120_0_0_all	46203.52	50	kWd		Estimated_Distribution	Undetermined	0	Age	13361.04	11.38	119.48	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	2	Quarter	SDN_DEF_>=120_0_0_all	46203.52	50	kWd		Estimated_Distribution	Undetermined	1	Age	43529.91	15.89	135.21	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	2	Quarter	SDN_DEF_>=120_0_0_all	46203.52	50	kWd		Estimated_Distribution	Undetermined	2	Age	45365.75	48.43	197.35	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	2	Quarter	SDN_DEF_>=120_0_0_all	46203.52	50	kWd		Estimated_Distribution	Undetermined	3	Age	40258.6	86.64	231.71	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	2	Quarter	SDN_DEF_>=120_0_0_all	46203.52	50	kWd		Estimated_Distribution	Undetermined	4	Age	90001.35	131.78	260.49	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	2	Quarter	SDN_DEF_>=120_0_0_all	46203.52	50	kWd		Estimated_Distribution	Undetermined	5	Age	56768.23	153.85	272.94	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	2	Quarter	SDN_DEF_>=120_0_0_all	46203.52	50	kWd		Estimated_Distribution	Undetermined	6	Age	51998.13	167.32	280.24	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	2	Quarter	SDN_DEF_>=120_0_0_all	46203.52	50	kWd		Estimated_Distribution	Undetermined	7	Age	32542.4	181.41	288.21	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	2	Quarter	SDN_DEF_>=120_0_0_all	46203.52	50	kWd		Estimated_Distribution	Undetermined	8	Age	21992.03	190.36	292.16	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	3	Quarter	SDN_DEF_>=120_0_0_all	30000	20	kWd	30000	Estimated_Distribution	Undetermined	0	Age	7351.03	11.38	119.49	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	3	Quarter	SDN_DEF_>=120_0_0_all	30000	20	kWd	30000	Estimated_Distribution	Undetermined	1	Age	17010.8	21.11	145.62	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	3	Quarter	SDN_DEF_>=120_0_0_all	30000	20	kWd	30000	Estimated_Distribution	Undetermined	2	Age	17925.21	53.26	201.17	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	3	Quarter	SDN_DEF_>=120_0_0_all	30000	20	kWd	30000	Estimated_Distribution	Undetermined	3	Age	17108.96	87.21	231.16	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	3	Quarter	SDN_DEF_>=120_0_0_all	30000	20	kWd	30000	Estimated_Distribution	Undetermined	4	Age	50265.5	138.19	263.69	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	3	Quarter	SDN_DEF_>=120_0_0_all	30000	20	kWd	30000	Estimated_Distribution	Undetermined	5	Age	37467.47	159.54	276.22	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	3	Quarter	SDN_DEF_>=120_0_0_all	30000	20	kWd	30000	Estimated_Distribution	Undetermined	6	Age	36892.83	175.91	286.34	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	3	Quarter	SDN_DEF_>=120_0_0_all	30000	20	kWd	30000	Estimated_Distribution	Undetermined	7	Age	23594.97	184.98	292.06	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	3	Quarter	SDN_DEF_>=120_0_0_all	30000	20	kWd	30000	Estimated_Distribution	Undetermined	8	Age	17170.68	194.06	297.03	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIa	4	Quarter	OTB_DEF_80-99_0_0	67734.15	100	kWd		Estimated_Distribution	Undetermined	0	Age	19587.4	11.38	119.48	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIa	4	Quarter	OTB_DEF_80-99_0_0	67734.15	100	kWd		Estimated_Distribution	Undetermined	1	Age	63815.23	15.89	135.21	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIa	4	Quarter	OTB_DEF_80-99_0_0	67734.15	100	kWd		Estimated_Distribution	Undetermined	2	Age	66506.59	48.43	197.35	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIa	4	Quarter	OTB_DEF_80-99_0_0	67734.15	100	kWd		Estimated_Distribution	Undetermined	3	Age	59019.46	86.64	231.71	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIa	4	Quarter	OTB_DEF_80-99_0_0	67734.15	100	kWd		Estimated_Distribution	Undetermined	4	Age	131942.77	131.78	260.49	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIa	4	Quarter	OTB_DEF_80-99_0_0	67734.15	100	kWd		Estimated_Distribution	Undetermined	5	Age	83222.72	153.85	272.94	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIa	4	Quarter	OTB_DEF_80-99_0_0	67734.15	100	kWd		Estimated_Distribution	Undetermined	6	Age	76229.71	167.32	280.24	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIa	4	Quarter	OTB_DEF_80-99_0_0	67734.15	100	kWd		Estimated_Distribution	Undetermined	7	Age	47707.44	181.41	288.21	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIa	4	Quarter	OTB_DEF_80-99_0_0	67734.15	100	kWd		Estimated_Distribution	Undetermined	8	Age	32240.51	190.36	292.16	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	4	Quarter	SDN_DEF_>=120_0_0_all	88345.19	100	kWd		Estimated_Distribution	Undetermined	0	Age	25547.71	11.38	119.48	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	4	Quarter	SDN_DEF_>=120_0_0_all	88345.19	100	kWd		Estimated_Distribution	Undetermined	1	Age	83233.77	15.89	135.21	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	4	Quarter	SDN_DEF_>=120_0_0_all	88345.19	100	kWd		Estimated_Distribution	Undetermined	2	Age	86744.09	48.43	197.35	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	4	Quarter	SDN_DEF_>=120_0_0_all	88345.19	100	kWd		Estimated_Distribution	Undetermined	3	Age	76978.68	86.64	231.71	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	4	Quarter	SDN_DEF_>=120_0_0_all	88345.19	100	kWd		Estimated_Distribution	Undetermined	4	Age	172092.06	131.78	260.49	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	4	Quarter	SDN_DEF_>=120_0_0_all	88345.19	100	kWd		Estimated_Distribution	Undetermined	5	Age	108546.83	153.85	272.94	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	4	Quarter	SDN_DEF_>=120_0_0_all	88345.19	100	kWd		Estimated_Distribution	Undetermined	6	Age	99425.9	167.32	280.24	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	4	Quarter	SDN_DEF_>=120_0_0_all	88345.19	100	kWd		Estimated_Distribution	Undetermined	7	Age	62224.49	181.41	288.21	0	0	0	0	0
aas-arct	TestCountry1	2015	Discards	Reported	Raised_Discards	 	IIb	4	Quarter	SDN_DEF_>=120_0_0_all	88345.19	100	kWd		Estimated_Distribution	Undetermined	8	Age	42051.08	190.36	292.16	0	0	0	0	0
aas-arct	TestCountry1	2015	Landings	Reported	Imported_Data	 	IIa	1	Quarter	OTB_DEF_80-99_0_0	3677000	1000	kWd	3677000	Sampled_Distribution	Undetermined	1	Age	2616403	11.33	125.8	0	16	7410	16	1674
